COVERAGE,YEAR,MONTH,PRODUCT_GROUP,PRODUCT,MEASUREMENT_UNIT,VOLUME,VALUE,INDEX,STATUS
National,2001,January,Precious Metals,Gold,Kilograms,2255.1,187081.313,53.728,Final Figures.
National,2001,January,Precious Metals,Silver,Kilograms,215465.0,312983.364,96.91,Final Figures.
National,2001,January,Non-Ferrous Industrial Metals,Lead,Tons,11591.0,53528.285,138.091,Final Figures.
National,2001,January,Non-Ferrous Industrial Metals,Copper,Tons,31801.0,595985.648,142.064,Final Figures.
National,2001,January,Non-Ferrous Industrial Metals,Zinc,Tons,33286.0,363521.974,100.535,Final Figures.
National,2001,January,Non-Ferrous Industrial Metals,Antimony,Tons,23.0,0.0,72.632,Final Figures.
National,2001,January,Non-Ferrous Industrial Metals,Arsenic,Tons,181.0,1387.666,423.392,Final Figures.
National,2001,January,Non-Ferrous Industrial Metals,Bismuth,Tons,117.0,9460.805,124.028,Final Figures.
National,2001,January,Non-Ferrous Industrial Metals,Tin,Tons,1.0,44.074,72.0,Final Figures.
National,2001,January,Non-Ferrous Industrial Metals,Cadmium,Tons,99.0,381.279,78.194,Final Figures.
National,2001,January,Non-Ferrous Industrial Metals,Molybdenum,Tons,596.0,27408.633,91.551,Final Figures.
National,2001,January,Steel Metals and Minerals,Non-Coking Coal,Tons,495163.0,149687.901,57.12,Final Figures.
National,2001,January,Steel Metals and Minerals,Coke,Tons,186263.0,290858.988,144.447,Final Figures.
National,2001,January,Steel Metals and Minerals,Iron Pellets,Tons,486177.0,109161.429,75.513,Final Figures.
National,2001,January,Steel Metals and Minerals,Manganese,Tons,1304.0,1275.788,9.21,Final Figures.
National,2001,January,Non-Metallic Minerals,Sulfur,Tons,70133.0,48440.386,80.837,Final Figures.
National,2001,January,Non-Metallic Minerals,Graphite,Tons,2758.0,6061.119,457.823,Final Figures.
National,2001,January,Non-Metallic Minerals,Barite,Tons,12711.0,9515.716,108.9,Final Figures.
National,2001,January,Non-Metallic Minerals,Dolomite,Tons,48538.0,9658.962,47.201,Final Figures.
National,2001,January,Non-Metallic Minerals,Fluorite,Tons,58485.0,63142.194,66.357,Final Figures.
National,2001,January,Non-Metallic Minerals,Kaolin,Tons,7815.0,5863.023,110.21,Final Figures.
National,2001,January,Non-Metallic Minerals,Silica Sand,Tons,143568.0,31763.0,61.992,Final Figures.
National,2001,January,Non-Metallic Minerals,Gypsum,Tons,305981.0,39304.263,71.503,Final Figures.
National,2001,January,Non-Metallic Minerals,Phosphate Rock,Tons,94336.0,34628.736,116.813,Final Figures.
National,2001,January,Non-Metallic Minerals,Wollastonite,Tons,1834.0,3578.383,46.981,Final Figures.
National,2001,January,Non-Metallic Minerals,Celestite,Tons,14036.0,7367.817,568.624,Final Figures.
National,2001,January,Non-Metallic Minerals,Feldspar,Tons,26623.0,11910.2,71.709,Final Figures.
National,2001,January,Non-Metallic Minerals,Salt,Tons,676908.0,75806.927,92.214,Final Figures.
National,2001,January,Non-Metallic Minerals,Diatomite,Tons,4871.0,8698.632,45.475,Final Figures.
National,2001,January,Non-Metallic Minerals,Sodium Sulfate,Tons,42000.0,32272.8,81.553,Final Figures.
National,2001,January,Non-Metallic Minerals,Magnesium Sulfate,Tons,1078.0,934.423,30.047,Final Figures.
National,2001,February,Precious Metals,Gold,Kilograms,1915.8,156195.997,45.651,Final Figures.
National,2001,February,Precious Metals,Silver,Kilograms,247541.0,349165.637,111.337,Final Figures.
National,2001,February,Non-Ferrous Industrial Metals,Lead,Tons,13087.0,63195.026,155.914,Final Figures.
National,2001,February,Non-Ferrous Industrial Metals,Copper,Tons,27560.0,504731.591,123.118,Final Figures.
National,2001,February,Non-Ferrous Industrial Metals,Zinc,Tons,32472.0,347165.149,98.077,Final Figures.
National,2001,February,Non-Ferrous Industrial Metals,Antimony,Tons,24.0,0.0,75.789,Final Figures.
