COBERTURA,ANIO,MES,GRUPO_PRODUCTO,PRODUCTO,UNIDAD_MEDIDA,VOLUMEN,VALOR,INDICE,ESTATUS
Nacional,2001,Enero,Metales Preciosos,Oro,Kilogramos,2255.1,187081.313,53.728,Cifras Definitivas.
Nacional,2001,Enero,Metales Preciosos,Plata,Kilogramos,215465.0,312983.364,96.91,Cifras Definitivas.
Nacional,2001,Enero,Metales Industriales No Ferrosos,Plomo,Toneladas,11591.0,53528.285,138.091,Cifras Definitivas.
Nacional,2001,Enero,Metales Industriales No Ferrosos,Cobre,Toneladas,31801.0,595985.648,142.064,Cifras Definitivas.
Nacional,2001,Enero,Metales Industriales No Ferrosos,Zinc,Toneladas,33286.0,363521.974,100.535,Cifras Definitivas.
Nacional,2001,Enero,Metales Industriales No Ferrosos,Antimonio,Toneladas,23.0,0.0,72.632,Cifras Definitivas.
Nacional,2001,Enero,Metales Industriales No Ferrosos,Arsenico,Toneladas,181.0,1387.666,423.392,Cifras Definitivas.
Nacional,2001,Enero,Metales Industriales No Ferrosos,Bismuto,Toneladas,117.0,9460.805,124.028,Cifras Definitivas.
Nacional,2001,Enero,Metales Industriales No Ferrosos,Estaño,Toneladas,1.0,44.074,72.0,Cifras Definitivas.
Nacional,2001,Enero,Metales Industriales No Ferrosos,Cadmio,Toneladas,99.0,381.279,78.194,Cifras Definitivas.
Nacional,2001,Enero,Metales Industriales No Ferrosos,Molibdeno,Toneladas,596.0,27408.633,91.551,Cifras Definitivas.
Nacional,2001,Enero,Metales y Minerales Siderúrgicos,Carbon No Coquizable,Toneladas,495163.0,149687.901,57.12,Cifras Definitivas.
Nacional,2001,Enero,Metales y Minerales Siderúrgicos,Coque,Toneladas,186263.0,290858.988,144.447,Cifras Definitivas.
Nacional,2001,Enero,Metales y Minerales Siderúrgicos,Pellets de fierro,Toneladas,486177.0,109161.429,75.513,Cifras Definitivas.
Nacional,2001,Enero,Metales y Minerales Siderúrgicos,Manganeso,Toneladas,1304.0,1275.788,9.21,Cifras Definitivas.
Nacional,2001,Enero,Minerales No Metálicos,Azufre,Toneladas,70133.0,48440.386,80.837,Cifras Definitivas.
Nacional,2001,Enero,Minerales No Metálicos,Grafito,Toneladas,2758.0,6061.119,457.823,Cifras Definitivas.
Nacional,2001,Enero,Minerales No Metálicos,Barita,Toneladas,12711.0,9515.716,108.9,Cifras Definitivas.
Nacional,2001,Enero,Minerales No Metálicos,Dolomita,Toneladas,48538.0,9658.962,47.201,Cifras Definitivas.
Nacional,2001,Enero,Minerales No Metálicos,Fluorita,Toneladas,58485.0,63142.194,66.357,Cifras Definitivas.
Nacional,2001,Enero,Minerales No Metálicos,Caolin,Toneladas,7815.0,5863.023,110.21,Cifras Definitivas.
Nacional,2001,Enero,Minerales No Metálicos,Arena Silica,Toneladas,143568.0,31763.0,61.992,Cifras Definitivas.
Nacional,2001,Enero,Minerales No Metálicos,Yeso,Toneladas,305981.0,39304.263,71.503,Cifras Definitivas.
Nacional,2001,Enero,Minerales No Metálicos,Fosforita,Toneladas,94336.0,34628.736,116.813,Cifras Definitivas.
Nacional,2001,Enero,Minerales No Metálicos,Wollastonita,Toneladas,1834.0,3578.383,46.981,Cifras Definitivas.
Nacional,2001,Enero,Minerales No Metálicos,Celestita,Toneladas,14036.0,7367.817,568.624,Cifras Definitivas.
Nacional,2001,Enero,Minerales No Metálicos,Feldespato,Toneladas,26623.0,11910.2,71.709,Cifras Definitivas.
Nacional,2001,Enero,Minerales No Metálicos,Sal,Toneladas,676908.0,75806.927,92.214,Cifras Definitivas.
Nacional,2001,Enero,Minerales No Metálicos,Diatomita,Toneladas,4871.0,8698.632,45.475,Cifras Definitivas.
Nacional,2001,Enero,Minerales No Metálicos,Sulfato de Sodio,Toneladas,42000.0,32272.8,81.553,Cifras Definitivas.
Nacional,2001,Enero,Minerales No Metálicos,Sulfato de Magnesio,Toneladas,1078.0,934.423,30.047,Cifras Definitivas.
Nacional,2001,Febrero,Metales Preciosos,Oro,Kilogramos,1915.8,156195.997,45.651,Cifras Definitivas.
Nacional,2001,Febrero,Metales Preciosos,Plata,Kilogramos,247541.0,349165.637,111.337,Cifras Definitivas.
Nacional,2001,Febrero,Metales Industriales No Ferrosos,Plomo,Toneladas,13087.0,63195.026,155.914,Cifras Definitivas.
Nacional,2001,Febrero,Metales Industriales No Ferrosos,Cobre,Toneladas,27560.0,504731.591,123.118,Cifras Definitivas.
Nacional,2001,Febrero,Metales Industriales No Ferrosos,Zinc,Toneladas,32472.0,347165.149,98.077,Cifras Definitivas.
Nacional,2001,Febrero,Metales Industriales No Ferrosos,Antimonio,Toneladas,24.0,0.0,75.789,Cifras Definitivas.
Nacional,2001,Febrero,Metales Industriales No Ferrosos,Arsenico,Toneladas,191.0,1458.77,446.784,Cifras Definitivas.
Nacional,2001,Febrero,Metales Industriales No Ferrosos,Bismuto,Toneladas,87.0,6984.622,92.226,Cifras Definitivas.
Nacional,2001,Febrero,Metales Industriales No Ferrosos,Estaño,Toneladas,1.0,60.399,88.0,Cifras Definitivas.
Nacional,2001,Febrero,Metales Industriales No Ferrosos,Cadmio,Toneladas,103.0,392.302,79.742,Cifras Definitivas.
Nacional,2001,Febrero,Metales Industriales No Ferrosos,Molibdeno,Toneladas,700.0,32730.88,107.527,Cifras Definitivas.
Nacional,2001,Febrero,Metales y Minerales Siderúrgicos,Carbon No Coquizable,Toneladas,630674.0,190652.876,72.751,Cifras Definitivas.
